dancer_id,wins_2025,wins_total,dancer_name
19062,1,3,Audra Long
19138,1,5,Jillian Carroll
19167,1,1,Miho Myojin
19180,1,2,Nathan Rossard
19201,1,2,Marc Hummel
19203,1,1,Adrien Guesnel
19222,1,1,Marcel Helbich
19224,1,2,Madalina Varlam
19245,1,4,Hannah Bonaguide
19278,1,3,Victor Aitman
19281,1,1,Paula Arvidsson
19286,1,2,Iryna Sarnitska
16335,1,4,Hien Nguyen-Phuoc
16260,1,5,Blake Knoll
16242,1,6,Emil Zetterstrom
12546,1,2,Jonas Nicklas
12043,1,2,James Steel
12097,1,5,Michael Cheng
12098,1,1,Basia Lopatka
12159,1,2,Leah Lawrence
12183,1,10,Maria Bileychik
12218,1,1,Ruben Fagerli
12298,1,3,Felicia Magnusson Strom
12317,1,4,Daniel Trepat
12329,1,3,Pavel Kozlov
12384,1,14,Damian Gruszczynski
12424,1,8,Mia Pastor
12463,1,5,Amber Dillenkoffer
12509,1,6,Brad Gallow
12533,1,2,Mahala Fedor
12591,1,3,Kaitlyn Lankin Kraatz
11866,1,9,Caroline Bejstam
12612,1,3,Coralie Busseuil
12621,1,6,Kevin Rocher
12652,1,5,Anastasia Telegina
12686,1,3,Róbert Tóth
12751,1,3,Jennifer Ritzen
12763,1,2,Yuri Erokhin
12767,1,2,Margarita Perepelkina
12787,1,1,Kevin Lawrence
12806,1,3,Amanda Nullmeyers
12960,1,3,Laura Wenger
12962,1,14,Philipp Wolff
13034,1,1,Nicki Cacciato
13154,1,4,Justin Tomas
13220,1,3,Katia Rar
11953,1,4,Jacques-Olivier Hache
11851,1,4,Viktoria Burman
13304,1,8,Jennifer Norris
10895,1,9,Isabelle Roy
10047,1,30,Alex Kim
10074,1,8,Ardena Gojani
10216,1,5,Alyson Candido
10224,1,9,Hailey Toro
10285,1,4,Orhiane Dang
10386,1,16,Jesse Lopez
10443,1,4,William Gomez
10470,1,2,Evgenia Itkina
10528,1,3,Carmen Hyunsook Kim
10681,1,1,Ben Howard
10719,1,18,Elizabeth Spann
10755,1,6,Andrey Shenayev
10843,1,5,Chris On
10894,1,8,Matthew Davis
10896,1,9,Simon Girard
11846,1,6,Rachel Rivera
11027,1,11,Aleksandr Rozhkov
11125,1,4,Rogerio Storani
11135,1,9,Brittney Valdez
11139,1,15,Byron Brunerie
11160,1,12,Laurena Houhou
11182,1,2,Anthony Chen
11267,1,16,Za Thomaier
11288,1,5,David Kono
11337,1,6,Olga Ruban
11343,1,4,Alesya Kovaleva
11369,1,4,Taylor Schoen
11491,1,14,Brooklyn Lanham
11605,1,1,Fiona Raphael
11830,1,4,Alexandra Pasti
13275,1,2,Jana Schumacher
13410,1,1,Scott Clausen
16236,1,1,Karina Jurina
15367,1,6,Yevgeniya Karachentsova
14943,1,1,Michael Li
14945,1,5,Robert Veale
15005,1,1,Matthew Jones
15007,1,3,David Waugh
15019,1,8,Danika Dahl
15069,1,5,Florence Dehais
15071,1,3,Damien Porte
15072,1,7,Andreas Danielsson
15173,1,6,Martine Saetereng
15229,1,5,Floralie St-Hilaire-Adam
15250,1,2,Manxi Ye
15256,1,3,Alexandru Tanasoiu
15272,1,1,Marie-Amandine Carpentier
15305,1,4,Kelly E. Wright
15441,1,8,David Phan
14765,1,7,Raphael Ettedgui
15468,1,3,Sean Audet
15509,1,2,Camille Kipp
15512,1,5,Emmanuelle Bertrand
15529,1,1,Marion Muller
15587,1,2,Tori Mills
15904,1,1,Derek Avocado
15928,1,8,Florian Simon
15979,1,10,Tuomas Sillanpaa
15985,1,6,Ats Nisov
16016,1,2,Jaehyuk Jung
16048,1,3,Guido von Mulert
16071,1,11,Emily J. Huang
16075,1,3,Michael Hassey
16216,1,4,Irina Amzashvili
14942,1,5,Samantha Pugmire
14681,1,1,Beata Tracz
13456,1,4,Bertrand Sorin
14089,1,3,Katelyn Bouise
13465,1,6,Khayree Jones
13505,1,2,Annika Mäntylä
13518,1,1,Pernilla Maatta
13603,1,13,Artem Shapovalov
13608,1,4,Yuliya Shapovalova
13711,1,2,Johanna Thorn
13796,1,3,Amanda Brubaker
13798,1,3,Mandy Corbett
13952,1,2,Marine Valet
13959,1,2,Noémie Even
14030,1,5,Leo Cook
14033,1,4,Elizabeth Lloyd
14037,1,1,Danielle Senecal
14081,1,14,Lily Auclair
14094,1,3,Katie Smiley-Oyen
14676,1,4,Agnieszka Orzel
14112,1,2,Philipp Holzinger
14156,1,20,Alexander Stavola
14183,1,5,Evelina Lundberg
14213,1,5,Raushaniya Maksudova
14231,1,4,Robert Crocker
14283,1,1,Alexandru Marcu-Dancescu
14295,1,1,Danielle Abali
14336,1,5,My Hanh Tu
14459,1,13,Stella Maria Schletterer
14466,1,6,Nicole Moes
14588,1,8,Noah Antebi
14614,1,4,Helene Mickle
14663,1,4,Yu Hua Cheng
14671,1,5,Mandy Liu
20129,1,4,Deitric Thompson
20131,1,3,Sarah Storch
20137,1,7,Duane Erwin
22681,1,1,Henry McLemore
22538,1,2,Ellie Sousa
22542,1,1,Melika Shams
22559,1,5,Sebastian Shindel
22569,1,1,Dmitriy Panov
22573,1,1,Marina Kondrateva
22578,1,1,Sourav Sarkar
22579,1,1,Andreas Kloo
22591,1,1,Stefanie Winkler
22624,1,1,Jared Smythe
22637,1,2,Elodie Bois
22640,1,1,Lucie Pierau
22645,1,1,Agathe Montebrun
22662,1,1,Sarah Vollmerhaus
22675,1,2,Pacome Tomietto
22684,1,1,Shaun Clark
22524,1,1,Michael Barreto
22690,1,1,Saumya Bhandarkar
22691,1,1,Ellis Permann
22692,1,2,Karin Riechenberg
22704,1,1,Semenova Oksana
22741,1,1,Mikélé Da Silva Bois
22743,1,2,Nikita Richagneux
22748,1,1,Romain Bichon
22751,1,1,Nicolas Tombarello
22757,1,1,Daniel Desjardin
10044,1,5,Delphine Asselineau
22808,1,1,Hannah Klebel
22817,1,2,Aleksei Pushkarev
22833,1,2,Katarzyna Liszka
22840,1,1,Erick Sirisoukh
22526,1,2,Jindalae Suh
22516,1,2,Anna Hamre
22869,1,1,Olga Troszka
22248,1,3,Krista Young
22006,1,1,Mark Denker
22047,1,2,Emelie Fredriksson
22053,1,1,Jacob Ardnor
22080,1,2,Sarah Mollison
22085,1,3,Bobby Leitmann
22093,1,1,Veronique Hartmann
22113,1,2,Amelie Gruber
22114,1,1,Hanna Rieger
22120,1,2,Willy Carpaye
22154,1,2,Raphaël Pile
22162,1,1,Adam Nice
22225,1,1,Claire Swarbrick
22227,1,3,Daniel Curl
22247,1,1,Nicoli Liedtke
22266,1,2,Kainoa Archer
22502,1,2,Paulina Ścisło
22270,1,1,Marylou Durandeau
22302,1,1,Elena Assargiotis
22314,1,1,Jasminella Kangas
22319,1,1,Jubilee Call
22335,1,1,Sheryl Bushaw
22341,1,1,Corrine McGinnis
22364,1,2,Victor Tay
22381,1,1,Kendra Russell
22409,1,1,Mats Gentzsch
22423,1,1,Daniela Mony
22427,1,1,Johanna Skoerys
22448,1,1,Agnieszka Bak
22470,1,2,Daniele Gazzola
22485,1,6,Aaron Nuno
22847,1,1,Ashley Figler
22880,1,1,Hikari Iwasaki
21997,1,1,Nabil Fairbairn
23452,1,3,Yanna Zhdankina
23322,1,1,Olivia Wilhelms
23335,1,1,Taehee Lim
23340,1,1,Namwoo Song
23347,1,1,Lennie Racault
23356,1,1,Isabelle Staquet
23369,1,2,Ian J Cameron
23370,1,3,Austin Griffith
23378,1,1,Jihan Watkins
23387,1,1,Caine Chan
23407,1,1,Sonja Lam
23416,1,1,Hana Kim
23418,1,1,Rachel Wong
23422,1,1,Garrett Russell
23436,1,4,Jasmine Morrison
23459,1,2,Connie Yndal
23310,1,1,Anastasia Vanekhina
23480,1,5,Andrei Bires
23486,1,2,Martin Bautista
23489,1,2,Neil Ashford
23492,1,2,Liana Davies
23504,1,1,Apolline Castellani
23509,1,1,Helena Erkens
23529,1,1,Keesha Dalley
23535,1,1,Hannah Allen
23536,1,1,Natalie Ash
23543,1,1,Benton Hoskison
23569,1,1,Nicole North
23576,1,3,Anastasia Suvorova
23597,1,1,Lilla László
23613,1,1,Martin Sande
23320,1,1,Zeus Zalevskyi
23299,1,1,Olga Romanova
22882,1,1,Tom Hogue
23104,1,2,Océane Fillon
22885,1,1,Jessica Greene
22886,1,2,Elli Haugen
22903,1,4,Nathan Wong
22904,1,2,Clay Morrison
22932,1,2,Tatiana Doldonova
22938,1,2,Rhys Black
22952,1,1,Andrew Holmes
22954,1,1,Natacha Chenevoy
22957,1,2,Lucca Grygiel
22986,1,1,Kalaychidi Vladislav
23025,1,1,Tobias Ziegler
23088,1,1,Kate Markman
23100,1,1,Emmanuel Baudet
23101,1,1,Aubin Vallet
23166,1,2,Sarah Rose Goin
23293,1,1,Gabriel Wu
23169,1,1,Yoshi Tryba
23171,1,1,Patrick Blanchette
23180,1,1,Claire McCarthy
23191,1,1,Mathias Preuß
23192,1,1,Sebastian Brud
23195,1,1,Filip Piłat
23199,1,1,Dora Preszeller
23215,1,2,Wayana Dolan
23219,1,2,Seth Pearson
23225,1,1,Vita Zakhu
23246,1,2,Britta Albertson
23264,1,2,Miki OK
23277,1,1,Billie Nell
23286,1,1,Stacey Potter
22003,1,2,Sandy Samuel
21994,1,2,Monica Huang
20154,1,1,Ann Harrison
20877,1,2,Angela Belze
20705,1,1,Klim Borisov
20721,1,1,Julia Kapustina
20742,1,3,Emma Charlotte Young
20760,1,1,Serena Saarela
20770,1,1,Kat Tan
20787,1,1,Denis Gorbanyev
20791,1,1,Rilee Long
20807,1,1,David Choi
20832,1,5,Christina Landowski
20838,1,1,Johanna Meichelbock
20841,1,3,Timo Kurzendorfer
20855,1,2,Kylene Setzer
20859,1,2,Joah Vagnozzi
20873,1,1,Lewis Grand
20891,1,1,Kiya Govek
20682,1,4,Brittney Bush
20900,1,3,Timo Ahola
20920,1,1,Brittany Richardson
20941,1,1,Audrey Disnard
20961,1,1,Yushi Wang
20988,1,4,Suryaraj Salunkhe
20999,1,1,Zohar Belkin
21019,1,1,Christoph Schmiedhofer
21020,1,1,Klaudia Plaziak
21023,1,1,Jason Torchinsky
21077,1,2,Sofie Peilitz
21100,1,2,Trevor Jaskot
21104,1,3,Ella Bell
21106,1,1,Julie Winspear
21119,1,1,Mario Hanser
20691,1,6,Trevon Chaney
20628,1,1,Kamila Ciupińska
21128,1,1,Johanna Hanser
20391,1,1,Alexis Prouvost
20158,1,1,Marta Klisowska
20167,1,2,Christian Chua
20184,1,3,Jordan Foresyth
20193,1,1,Danielle Blohm
20196,1,1,Vincent Dorey
20233,1,3,Morgan Hearrell
20275,1,1,Sarah Adam
20282,1,4,Rahel Greiner
20290,1,1,Agnieszka Mikolajczyk
20304,1,5,Lea Hörner
20309,1,1,Ken Ng
20344,1,2,Jared Cogswell
20362,1,1,Brianna Pinckney
20367,1,2,Celine Kessler
20429,1,2,Olga Cencek
20625,1,1,Daria Scharl
20433,1,1,Milena Stolarska
20442,1,9,Lisa Shirokova
20510,1,2,Beatrix Teng
20539,1,1,Miika Aspiala
20543,1,2,Rebecca Cronheim
20544,1,2,Mattias Salder
20565,1,1,Angela Wood
20568,1,5,Manon Esparcieux
20569,1,2,Clemence Durand
20595,1,1,Ramona Mahr
20603,1,3,Leo Nguyen
20607,1,2,Carina Klaas
20608,1,2,Aline Koch
20619,1,1,Rafal Kulba
21126,1,3,Mélissa Gay
21129,1,1,Maeva Volle
21991,1,3,Trinity Madden
21775,1,2,Perrine Rutkowski
21635,1,1,Emory Roehrkasse
21657,1,3,Jun Tae Hoon
21662,1,1,Jungmi Park
21665,1,1,Rachel Stuart
21682,1,1,Ashley Davis
21685,1,2,Vicky Vasiliauskaite
21689,1,1,Irina Wilhelm
21700,1,1,Brice Issaurat
21702,1,1,Abel Colleu
21705,1,3,Samuel Yeun
21711,1,3,Wan Yu Lin
21717,1,1,Haruka Okada
21741,1,1,Nevena Banov
21762,1,1,Himanshu Paul
21777,1,1,Leiya Crosbie
21630,1,4,Igor Laryukhin
21781,1,1,Richard Stewart
21784,1,1,Ariane Martel
21800,1,1,Isaiah Copher
21820,1,2,Fanni Ressely
21837,1,3,Talisa Tam
21866,1,1,Leonie Schwan
21879,1,1,Muriel Guthoff
21902,1,2,Marie Fourriere
21906,1,1,Yara Mangindaan
21910,1,1,Alicja Kopeć
21934,1,1,Patrick Thompson
21947,1,1,Mandi Frazer
21966,1,1,Srikanth Avasarala
21969,1,1,Andrew Roach
21634,1,1,Robyn Giffen
21607,1,2,Elaine Dimal
21130,1,2,Michael Fleig
21294,1,3,Tibor Kostal
21133,1,7,Teddy Sanchez
21163,1,3,Alice Martel
21169,1,4,Zhong Xuan Khwa
21170,1,2,Edna Marie Theadore
21182,1,1,Øyvind Skjelbred
21188,1,1,Maria Molina
21207,1,3,Erik Petersen
21220,1,3,Anna Spiridonova
21233,1,1,Fanni Madarasz
21237,1,1,Chiara Bachmann
21242,1,1,Stefan Aworsky
21253,1,2,Asher Newman
21267,1,1,Daniel Mors
21288,1,2,Elina Sharipova
21308,1,2,Yann Lopez
21601,1,2,Lukas Massenberg
21313,1,1,Mara Titz
21314,1,2,Laurie Pinaud
21316,1,1,Olga Kim
21324,1,2,Jose Miguel Belloque Vane
21325,1,2,Hugo Beisser
21343,1,1,Harish Kommineni
21383,1,1,Mathieu Treilhou
21390,1,2,Manon Prunier
21403,1,3,Irène Bivas
21448,1,3,Kameron Moore
21464,1,1,Julia Doody
21494,1,5,Daniel Cruz
21544,1,1,Kasey Luo
21598,1,2,Hassan Kanouni
9888,1,9,Nataliya Kane
