dancer_id,wins_2025,wins_total,dancer_name
24233,1,1,Maddy Knox
24198,1,1,Amit Klein
24194,1,1,Fiona Kandzior
24171,1,1,Tegan Lowe
23723,1,1,Alesia Haxhia
23758,1,1,Daria Morozova
23761,1,1,Jason Math
23778,1,1,Trevor Karpinski
23785,1,3,Andrew Pifferini
23805,1,2,Shweta Mehta
23806,1,2,Shelly Baillie
23808,1,1,Adele Strub
23844,1,1,Anton Matveev
23857,1,1,Kate Gehrke
23919,1,2,Alvaro Hilario Garcia
23925,1,1,Lukas Samuel Jeck
23943,1,1,Janine Schlaak
23949,1,1,Lara Schneider
23959,1,1,Briley Sterling
23968,1,1,Annie Ogren
23973,1,1,Heather Sabel
23992,1,1,Adrian Wisnios
24016,1,1,Murry Haithcock
24029,1,1,Olivia Smith
24039,1,1,Sarah Brown
24046,1,1,Devon Holcombe
24047,1,1,Mckenna Vroom
24067,1,1,Matthew Dotson
24080,1,1,Margaret Sullivan
24093,1,1,Ajay Phatak
24095,1,1,Tom Gillespie
24108,1,1,Sidney Peng
24116,1,1,Fafadji Gnofame
24599,1,1,Yalini Kandheswari
24619,1,1,Kim Taylor
25111,1,1,Hilmi Lapinniemi
24962,1,1,Indi Puckett
24872,1,1,Brycelyn Knudson
24874,1,1,Nataliia Miroshnychenko
24880,1,1,Bende Marton
24883,1,1,Ariel Eshet
24888,1,1,Vanessza Vegi
24896,1,1,Cezary Zajkowski
24898,1,1,Joseph Quintana
24901,1,1,Halie Burke
24914,1,1,Dana Johnson
24916,1,1,Florent Chauvin
24923,1,1,Elise Mege
24936,1,1,Cindy Sims
24938,1,1,Alexandru Tarlia
24940,1,1,Claire Kilburn
24973,1,1,Hannah Adair
24621,1,2,Julien Espagnet
24978,1,1,Christian Kittery
24987,1,1,Helene Hølaas
24999,1,1,Eduard Arutyunov
25009,1,1,Polina Makhonko
25024,1,1,Ian McAreavy
25032,1,1,Marissa A. Guillen
25042,1,1,Ariane Ang
25044,1,1,Daniella Sangster
25054,1,1,Caroline Vitrac
25059,1,1,Rachel Caines
25079,1,1,Linda Wikström
25084,1,1,Luis Farías
25087,1,1,Meridith Fulton
25094,1,1,Viljami Jauhiainen
24870,1,1,Talisha Edwards
24865,1,1,Almir Mehmedovic
24863,1,1,Brandon Li
24854,1,1,Julianna Moore
24631,1,1,Micael Ernst
24633,1,2,Csongor Ferenczi
24651,1,1,Pawel Pasterz
24657,1,1,Anthony Austin
24674,1,1,Leonardo Pahuriray
24682,1,2,Mallory Fuhrmann
24707,1,2,Roman Yelagin
24711,1,1,Nataliya Babak
24724,1,2,Mariia Ilina
24728,1,1,Henny Sveen
24752,1,1,Miriam Griebaum
24764,1,1,Lucy Sobczak
